Régimen y estado;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viviendas: Total;Total Nacional;02 Aragón;;2020M01;1.268
Viviendas: Total;Total Nacional;02 Aragón;;2019M12;1.115
Viviendas: Total;Total Nacional;02 Aragón;;2019M11;1.184
Viviendas: Total;Total Nacional;02 Aragón;;2019M10;1.063
Viviendas: Total;Total Nacional;02 Aragón;;2019M09;987
Viviendas: Total;Total Nacional;02 Aragón;;2019M08;854
Viviendas: Total;Total Nacional;02 Aragón;;2019M07;1.308
Viviendas: Total;Total Nacional;02 Aragón;;2019M06;1.054
Viviendas: Total;Total Nacional;02 Aragón;;2019M05;1.307
Viviendas: Total;Total Nacional;02 Aragón;;2019M04;1.065
Viviendas: Total;Total Nacional;02 Aragón;;2019M03;1.042
Viviendas: Total;Total Nacional;02 Aragón;;2019M02;1.094
Viviendas: Total;Total Nacional;02 Aragón;;2019M01;1.301
Viviendas: Total;Total Nacional;02 Aragón;;2018M12;984
Viviendas: Total;Total Nacional;02 Aragón;;2018M11;1.126
Viviendas: Total;Total Nacional;02 Aragón;;2018M10;1.016
Viviendas: Total;Total Nacional;02 Aragón;;2018M09;1.000
Viviendas: Total;Total Nacional;02 Aragón;;2018M08;1.179
Viviendas: Total;Total Nacional;02 Aragón;;2018M07;1.256
Viviendas: Total;Total Nacional;02 Aragón;;2018M06;1.204
Viviendas: Total;Total Nacional;02 Aragón;;2018M05;1.255
Viviendas: Total;Total Nacional;02 Aragón;;2018M04;1.098
Viviendas: Total;Total Nacional;02 Aragón;;2018M03;1.091
Viviendas: Total;Total Nacional;02 Aragón;;2018M02;1.143
Viviendas: Total;Total Nacional;02 Aragón;;2018M01;1.141
Viviendas: Total;Total Nacional;02 Aragón;;2017M12;988
Viviendas: Total;Total Nacional;02 Aragón;;2017M11;1.141
Viviendas: Total;Total Nacional;02 Aragón;;2017M10;1.018
Viviendas: Total;Total Nacional;02 Aragón;;2017M09;939
Viviendas: Total;Total Nacional;02 Aragón;;2017M08;1.073
Viviendas: Total;Total Nacional;02 Aragón;;2017M07;935
Viviendas: Total;Total Nacional;02 Aragón;;2017M06;1.032
Viviendas: Total;Total Nacional;02 Aragón;;2017M05;1.163
Viviendas: Total;Total Nacional;02 Aragón;;2017M04;783
Viviendas: Total;Total Nacional;02 Aragón;;2017M03;1.020
Viviendas: Total;Total Nacional;02 Aragón;;2017M02;980
Viviendas: Total;Total Nacional;02 Aragón;;2017M01;1.083
Viviendas: Total;Total Nacional;02 Aragón;;2016M12;739
Viviendas: Total;Total Nacional;02 Aragón;;2016M11;932
Viviendas: Total;Total Nacional;02 Aragón;;2016M10;833
Viviendas: Total;Total Nacional;02 Aragón;;2016M09;790
Viviendas: Total;Total Nacional;02 Aragón;;2016M08;942
Viviendas: Total;Total Nacional;02 Aragón;;2016M07;813
Viviendas: Total;Total Nacional;02 Aragón;;2016M06;1.020
Viviendas: Total;Total Nacional;02 Aragón;;2016M05;883
Viviendas: Total;Total Nacional;02 Aragón;;2016M04;829
Viviendas: Total;Total Nacional;02 Aragón;;2016M03;713
Viviendas: Total;Total Nacional;02 Aragón;;2016M02;1.036
Viviendas: Total;Total Nacional;02 Aragón;;2016M01;939
Viviendas: Total;Total Nacional;02 Aragón;;2015M12;730
Viviendas: Total;Total Nacional;02 Aragón;;2015M11;744
Viviendas: Total;Total Nacional;02 Aragón;;2015M10;718
Viviendas: Total;Total Nacional;02 Aragón;;2015M09;790
Viviendas: Total;Total Nacional;02 Aragón;;2015M08;785
Viviendas: Total;Total Nacional;02 Aragón;;2015M07;822
Viviendas: Total;Total Nacional;02 Aragón;;2015M06;863
Viviendas: Total;Total Nacional;02 Aragón;;2015M05;747
Viviendas: Total;Total Nacional;02 Aragón;;2015M04;685
Viviendas: Total;Total Nacional;02 Aragón;;2015M03;658
Viviendas: Total;Total Nacional;02 Aragón;;2015M02;907
Viviendas: Total;Total Nacional;02 Aragón;;2015M01;881
Viviendas: Total;Total Nacional;02 Aragón;;2014M12;696
Viviendas: Total;Total Nacional;02 Aragón;;2014M11;666
Viviendas: Total;Total Nacional;02 Aragón;;2014M10;720
Viviendas: Total;Total Nacional;02 Aragón;;2014M09;689
Viviendas: Total;Total Nacional;02 Aragón;;2014M08;590
Viviendas: Total;Total Nacional;02 Aragón;;2014M07;675
Viviendas: Total;Total Nacional;02 Aragón;;2014M06;646
Viviendas: Total;Total Nacional;02 Aragón;;2014M05;781
Viviendas: Total;Total Nacional;02 Aragón;;2014M04;609
